VZU Nord;ВЗУ Норд;c:\Отчетность по работе станций\ВЗУ Норд;..\reports\vzu_nord;vzu_nord;;;;;;
\n№\n\n\n\n;\nДата/время\n\n\n\n;\nОсмос, м3\n\n\n\n;\nРЧВ, м3\n\n\n\n;\nВход, м3\n\n\n\n;\nВыход 1, м3\n\n\n\n;\nВыход 2, м3\n\n\n\n;;;;
00000;0000.00.00  00:00;00000000000.0;00000000000.0;00000000000.0;00000000000.0;00000000000.0;;;;
1;01.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2;02.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
3;03.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
4;04.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5;05.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
6;06.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
7;07.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8;08.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
9;09.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
10;10.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
11;11.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
12;12.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
13;13.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
14;14.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
15;15.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
16;16.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
17;17.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
18;18.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
19;19.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
20;20.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
21;21.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
22;22.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
23;23.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
24;24.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
25;25.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
26;26.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
27;27.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
28;28.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
29;29.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
30;30.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
31;31.08.2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
;За месяц:;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
