VZU Teploe;ВЗУ Теплое;c:\Отчетность по работе станций\ВЗУ Теплое;vzu_teploe;;;;
\n№\n\n\n;\nДата/время\n\n\n;\nРасход на входе 1, м3\n\n;\nРасход на входе 2, м3\n\n;\nРасход на выходе, м3\n\n;;;
00000;0000.00.00  00:00;0000000000000.0;0000000000000.0;0000000000000.0;;;
1;2024.01.01;0.0;0.0;0.0;0.0;0.0;
2;2024.01.02;0.0;0.0;0.0;0.0;0.0;
3;2024.01.03;0.0;0.0;0.0;0.0;0.0;
4;2024.01.04;0.0;0.0;0.0;0.0;0.0;
5;2024.01.05;0.0;0.0;0.0;0.0;0.0;
6;2024.01.06;0.0;0.0;0.0;0.0;0.0;
7;2024.01.07;0.0;0.0;0.0;0.0;0.0;
8;2024.01.08;0.0;0.0;0.0;0.0;0.0;
9;2024.01.09;0.0;0.0;0.0;0.0;0.0;
10;2024.01.10;0.0;0.0;0.0;0.0;0.0;
11;2024.01.11;0.0;0.0;0.0;0.0;0.0;
12;2024.01.12;0.0;0.0;0.0;0.0;0.0;
13;2024.01.13;0.0;0.0;0.0;0.0;0.0;
14;2024.01.14;0.0;0.0;0.0;0.0;0.0;
15;2024.01.15;0.0;0.0;0.0;0.0;0.0;
16;2024.01.15;0.0;0.0;0.0;0.0;0.0;
17;2024.01.15;0.0;0.0;0.0;0.0;0.0;
18;2024.01.15;0.0;0.0;0.0;0.0;0.0;
